date,file_name,product,file_size_mb,status
20150213,ESACCI-SOILMOISTURE-L3S-SSMV-COMBINED-20150213000000-fv08.1.nc,ESA_CCI_COMBINED,1.42,Downloaded
20150214,ESACCI-SOILMOISTURE-L3S-SSMV-COMBINED-20150214000000-fv08.1.nc,ESA_CCI_COMBINED,1.43,Downloaded
20150215,ESACCI-SOILMOISTURE-L3S-SSMV-COMBINED-20150215000000-fv08.1.nc,ESA_CCI_COMBINED,1.43,Downloaded
20150216,ESACCI-SOILMOISTURE-L3S-SSMV-COMBINED-20150216000000-fv08.1.nc,ESA_CCI_COMBINED,1.42,Downloaded
20150217,ESACCI-SOILMOISTURE-L3S-SSMV-COMBINED-20150217000000-fv08.1.nc,ESA_CCI_COMBINED,1.4,Downloaded
20150218,ESACCI-SOILMOISTURE-L3S-SSMV-COMBINED-20150218000000-fv08.1.nc,ESA_CCI_COMBINED,1.42,Downloaded
20150219,ESACCI-SOILMOISTURE-L3S-SSMV-COMBINED-20150219000000-fv08.1.nc,ESA_CCI_COMBINED,1.4,Downloaded
20150220,ESACCI-SOILMOISTURE-L3S-SSMV-COMBINED-20150220000000-fv08.1.nc,ESA_CCI_COMBINED,1.42,Downloaded
20150221,ESACCI-SOILMOISTURE-L3S-SSMV-COMBINED-20150221000000-fv08.1.nc,ESA_CCI_COMBINED,1.43,Downloaded
20150222,ESACCI-SOILMOISTURE-L3S-SSMV-COMBINED-20150222000000-fv08.1.nc,ESA_CCI_COMBINED,1.44,Downloaded
20150223,ESACCI-SOILMOISTURE-L3S-SSMV-COMBINED-20150223000000-fv08.1.nc,ESA_CCI_COMBINED,1.43,Downloaded
20150224,ESACCI-SOILMOISTURE-L3S-SSMV-COMBINED-20150224000000-fv08.1.nc,ESA_CCI_COMBINED,1.43,Downloaded
20150225,ESACCI-SOILMOISTURE-L3S-SSMV-COMBINED-20150225000000-fv08.1.nc,ESA_CCI_COMBINED,1.43,Downloaded
20150226,ESACCI-SOILMOISTURE-L3S-SSMV-COMBINED-20150226000000-fv08.1.nc,ESA_CCI_COMBINED,1.42,Downloaded
20150227,ESACCI-SOILMOISTURE-L3S-SSMV-COMBINED-20150227000000-fv08.1.nc,ESA_CCI_COMBINED,1.42,Downloaded
20150228,ESACCI-SOILMOISTURE-L3S-SSMV-COMBINED-20150228000000-fv08.1.nc,ESA_CCI_COMBINED,1.42,Downloaded
20150301,ESACCI-SOILMOISTURE-L3S-SSMV-COMBINED-20150301000000-fv08.1.nc,ESA_CCI_COMBINED,1.43,Downloaded
20150302,ESACCI-SOILMOISTURE-L3S-SSMV-COMBINED-20150302000000-fv08.1.nc,ESA_CCI_COMBINED,1.46,Downloaded
20150303,ESACCI-SOILMOISTURE-L3S-SSMV-COMBINED-20150303000000-fv08.1.nc,ESA_CCI_COMBINED,1.44,Downloaded
20150304,ESACCI-SOILMOISTURE-L3S-SSMV-COMBINED-20150304000000-fv08.1.nc,ESA_CCI_COMBINED,1.46,Downloaded
20150305,ESACCI-SOILMOISTURE-L3S-SSMV-COMBINED-20150305000000-fv08.1.nc,ESA_CCI_COMBINED,1.45,Downloaded
20150306,ESACCI-SOILMOISTURE-L3S-SSMV-COMBINED-20150306000000-fv08.1.nc,ESA_CCI_COMBINED,1.45,Downloaded
20150307,ESACCI-SOILMOISTURE-L3S-SSMV-COMBINED-20150307000000-fv08.1.nc,ESA_CCI_COMBINED,1.45,Downloaded
20150308,ESACCI-SOILMOISTURE-L3S-SSMV-COMBINED-20150308000000-fv08.1.nc,ESA_CCI_COMBINED,1.46,Downloaded
20150309,ESACCI-SOILMOISTURE-L3S-SSMV-COMBINED-20150309000000-fv08.1.nc,ESA_CCI_COMBINED,1.47,Downloaded
20150310,ESACCI-SOILMOISTURE-L3S-SSMV-COMBINED-20150310000000-fv08.1.nc,ESA_CCI_COMBINED,1.49,Downloaded
20150311,ESACCI-SOILMOISTURE-L3S-SSMV-COMBINED-20150311000000-fv08.1.nc,ESA_CCI_COMBINED,1.48,Downloaded
20150312,ESACCI-SOILMOISTURE-L3S-SSMV-COMBINED-20150312000000-fv08.1.nc,ESA_CCI_COMBINED,1.49,Downloaded
20150313,ESACCI-SOILMOISTURE-L3S-SSMV-COMBINED-20150313000000-fv08.1.nc,ESA_CCI_COMBINED,1.51,Downloaded
20150314,ESACCI-SOILMOISTURE-L3S-SSMV-COMBINED-20150314000000-fv08.1.nc,ESA_CCI_COMBINED,1.52,Downloaded
20150315,ESACCI-SOILMOISTURE-L3S-SSMV-COMBINED-20150315000000-fv08.1.nc,ESA_CCI_COMBINED,1.52,Downloaded
20150316,ESACCI-SOILMOISTURE-L3S-SSMV-COMBINED-20150316000000-fv08.1.nc,ESA_CCI_COMBINED,1.51,Downloaded
20150317,ESACCI-SOILMOISTURE-L3S-SSMV-COMBINED-20150317000000-fv08.1.nc,ESA_CCI_COMBINED,1.51,Downloaded
20150318,ESACCI-SOILMOISTURE-L3S-SSMV-COMBINED-20150318000000-fv08.1.nc,ESA_CCI_COMBINED,1.52,Downloaded
20150319,ESACCI-SOILMOISTURE-L3S-SSMV-COMBINED-20150319000000-fv08.1.nc,ESA_CCI_COMBINED,1.51,Downloaded
