experiment,num_files,first_file,last_file
OPL_noirr_2016,366,/home/mohammad.elaabaribao/lustre/empowermed-ahl6xm8o7mg/users/mohammad.elaabaribao/NoahMP_Morocco/experiments/NorthMor/matrix_2016/OPL_noirr_2016/output/2016-01/SURFACEMODEL/201601/LIS_HIST_201601020000.d01.nc,/home/mohammad.elaabaribao/lustre/empowermed-ahl6xm8o7mg/users/mohammad.elaabaribao/NoahMP_Morocco/experiments/NorthMor/matrix_2016/OPL_noirr_2016/output/2016-12/SURFACEMODEL/201701/LIS_HIST_201701010000.d01.nc
DA_nocdf_noirr_2016,366,/home/mohammad.elaabaribao/lustre/empowermed-ahl6xm8o7mg/users/mohammad.elaabaribao/NoahMP_Morocco/experiments/NorthMor/matrix_2016/DA_nocdf_noirr_2016/output/2016-01/SURFACEMODEL/201601/LIS_HIST_201601020000.d01.nc,/home/mohammad.elaabaribao/lustre/empowermed-ahl6xm8o7mg/users/mohammad.elaabaribao/NoahMP_Morocco/experiments/NorthMor/matrix_2016/DA_nocdf_noirr_2016/output/2016-12/SURFACEMODEL/201701/LIS_HIST_201701010000.d01.nc
DA_cdf_noirr_2016,366,/home/mohammad.elaabaribao/lustre/empowermed-ahl6xm8o7mg/users/mohammad.elaabaribao/NoahMP_Morocco/experiments/NorthMor/matrix_2016/DA_cdf_noirr_2016/output/2016-01/SURFACEMODEL/201601/LIS_HIST_201601020000.d01.nc,/home/mohammad.elaabaribao/lustre/empowermed-ahl6xm8o7mg/users/mohammad.elaabaribao/NoahMP_Morocco/experiments/NorthMor/matrix_2016/DA_cdf_noirr_2016/output/2016-12/SURFACEMODEL/201701/LIS_HIST_201701010000.d01.nc
