type,path,expected_size,actual_size,expected_hash,actual_hash,status
IMAGE,hydrology/surface_soil_moisture/surface_soil_moisture_domain_mean_timeseries_2016.png,417520,417520,77a65325d25d2e134d53d0bf2ce5d34f216441cfe607309ba9fcb429a259ae1d,77a65325d25d2e134d53d0bf2ce5d34f216441cfe607309ba9fcb429a259ae1d,PASSED
METRICS,hydrology/surface_soil_moisture/surface_soil_moisture_domain_mean_timeseries_2016.json,342,342,5af71a791034f6c97d5d1feb740372d2d91313be4ac81bf47fc79a8c8e245c7f,5af71a791034f6c97d5d1feb740372d2d91313be4ac81bf47fc79a8c8e245c7f,PASSED
IMAGE,hydrology/surface_soil_moisture/surface_soil_moisture_annual_mean_2016.png,157007,157007,86d38e153a4cfd106a087b8b7ed435455a7c5f8cdfc239e9af0a857fd775bb2f,86d38e153a4cfd106a087b8b7ed435455a7c5f8cdfc239e9af0a857fd775bb2f,PASSED
IMAGE,hydrology/surface_soil_moisture/03_surface_soil_moisture_domain_mean_timeseries_2016.png,1052278,1052278,519151aaf80780d1ed1c9e5d65f49da706f24eafa875a364d44bf13fb30b2519,519151aaf80780d1ed1c9e5d65f49da706f24eafa875a364d44bf13fb30b2519,PASSED
METRICS,hydrology/surface_soil_moisture/surface_soil_moisture_annual_mean_2016.json,327,327,dede327e3ad8ef8028656d108b17e8c0893a112e61b2d959458c34841badf0c4,dede327e3ad8ef8028656d108b17e8c0893a112e61b2d959458c34841badf0c4,PASSED
OTHER,hydrology/surface_soil_moisture/01_surface_soil_moisture_annual_mean_2016.pdf,126684,126684,d422d5a5a8f216d3b71fed16e982bcbd1e08ed7cc06fbe7352b07ace497b14d8,d422d5a5a8f216d3b71fed16e982bcbd1e08ed7cc06fbe7352b07ace497b14d8,PASSED
OTHER,hydrology/surface_soil_moisture/03_surface_soil_moisture_domain_mean_timeseries_2016.pdf,31474,31474,75a0244ee6ffd73d1a0ef8b365a3ff9ff3d7617ce9fe53745302a59ce9169ec5,75a0244ee6ffd73d1a0ef8b365a3ff9ff3d7617ce9fe53745302a59ce9169ec5,PASSED
IMAGE,hydrology/surface_soil_moisture/surface_soil_moisture_differences_2016.png,193743,193743,324df49b7e13a3726831c3eaf8e475f09780d1a723caf31f8284b0a8fc7dfcd6,324df49b7e13a3726831c3eaf8e475f09780d1a723caf31f8284b0a8fc7dfcd6,PASSED
IMAGE,hydrology/surface_soil_moisture/02_surface_soil_moisture_differences_2016.png,652541,652541,417fa88a685aff484572564a7aaaf8aafce4c9e13bd69d6dceaa48adc9a29c93,417fa88a685aff484572564a7aaaf8aafce4c9e13bd69d6dceaa48adc9a29c93,PASSED
IMAGE,hydrology/surface_soil_moisture/01_surface_soil_moisture_annual_mean_2016.png,512078,512078,6026e58a6cc662346ce07a86bb58288b7b565e03555a0fa02486e86725757e3d,6026e58a6cc662346ce07a86bb58288b7b565e03555a0fa02486e86725757e3d,PASSED
METRICS,hydrology/surface_soil_moisture/surface_soil_moisture_differences_2016.json,325,325,df6c607a085f81ca6046459d52d10bfe70f5d151e67247b27cb2032bfdc5a93b,df6c607a085f81ca6046459d52d10bfe70f5d151e67247b27cb2032bfdc5a93b,PASSED
CONFIG,hydrology/surface_soil_moisture/processing_log.yaml,2696,2696,2da8b2b6a39007768e666958c4ebc3cf51c1d5fd26ae25e56eb1c17e7581d8fa,2da8b2b6a39007768e666958c4ebc3cf51c1d5fd26ae25e56eb1c17e7581d8fa,PASSED
IMAGE,hydrology/groundwater_storage/01_groundwater_storage_annual_mean_2016.png,592857,592857,05dec8431596810ac110db4a5d6d800b483c3e47bc44c0e96ed77b3587c8b345,05dec8431596810ac110db4a5d6d800b483c3e47bc44c0e96ed77b3587c8b345,PASSED
IMAGE,hydrology/groundwater_storage/groundwater_storage_annual_mean_2016.png,169170,169170,f3903d689d32f5a335db4cbe9732e66cc508ee20f614d69f563585cf12705c18,f3903d689d32f5a335db4cbe9732e66cc508ee20f614d69f563585cf12705c18,PASSED
