date,file_name,product,version,file_size_mb,status
2016-01-09,MCD15A2H.A2016009.h17v05.061.2021342153128.hdf,MCD15A2H,061,5.64,Downloaded
2016-01-17,MCD15A2H.A2016017.h17v05.061.2021342201644.hdf,MCD15A2H,061,5.53,Downloaded
2016-01-25,MCD15A2H.A2016025.h17v05.061.2021343173556.hdf,MCD15A2H,061,5.71,Downloaded
2016-02-02,MCD15A2H.A2016033.h17v05.061.2021346032329.hdf,MCD15A2H,061,5.67,Downloaded
2016-02-10,MCD15A2H.A2016041.h17v05.061.2021346040728.hdf,MCD15A2H,061,5.85,Downloaded
2016-02-18,MCD15A2H.A2016049.h17v05.061.2021346042602.hdf,MCD15A2H,061,5.35,Downloaded
2016-02-26,MCD15A2H.A2016057.h17v05.061.2021346045803.hdf,MCD15A2H,061,5.73,Downloaded
2016-03-05,MCD15A2H.A2016065.h17v05.061.2021346053620.hdf,MCD15A2H,061,5.99,Downloaded
2016-03-13,MCD15A2H.A2016073.h17v05.061.2021346062338.hdf,MCD15A2H,061,5.87,Downloaded
2016-03-21,MCD15A2H.A2016081.h17v05.061.2021346212045.hdf,MCD15A2H,061,5.97,Downloaded
2016-03-29,MCD15A2H.A2016089.h17v05.061.2021347074621.hdf,MCD15A2H,061,5.8,Downloaded
2016-04-06,MCD15A2H.A2016097.h17v05.061.2021348024042.hdf,MCD15A2H,061,5.94,Downloaded
2016-04-14,MCD15A2H.A2016105.h17v05.061.2021348111912.hdf,MCD15A2H,061,6.07,Downloaded
2016-04-22,MCD15A2H.A2016113.h17v05.061.2021348224430.hdf,MCD15A2H,061,5.66,Downloaded
2016-04-30,MCD15A2H.A2016121.h17v05.061.2021349074215.hdf,MCD15A2H,061,5.63,Downloaded
2016-05-08,MCD15A2H.A2016129.h17v05.061.2021350022232.hdf,MCD15A2H,061,6.2,Downloaded
2016-05-16,MCD15A2H.A2016137.h17v05.061.2021350130702.hdf,MCD15A2H,061,5.45,Downloaded
2016-05-24,MCD15A2H.A2016145.h17v05.061.2021350210535.hdf,MCD15A2H,061,5.64,Downloaded
2016-06-01,MCD15A2H.A2016153.h17v05.061.2021351125744.hdf,MCD15A2H,061,5.12,Downloaded
2016-06-09,MCD15A2H.A2016161.h17v05.061.2021351195347.hdf,MCD15A2H,061,5.31,Downloaded
2016-06-17,MCD15A2H.A2016169.h17v05.061.2021353041606.hdf,MCD15A2H,061,5.0,Downloaded
2016-06-25,MCD15A2H.A2016177.h17v05.061.2021353044932.hdf,MCD15A2H,061,5.09,Downloaded
2016-07-03,MCD15A2H.A2016185.h17v05.061.2021353093759.hdf,MCD15A2H,061,4.98,Downloaded
2016-07-11,MCD15A2H.A2016193.h17v05.061.2021354141044.hdf,MCD15A2H,061,4.89,Downloaded
2016-07-19,MCD15A2H.A2016201.h17v05.061.2021354145045.hdf,MCD15A2H,061,4.89,Downloaded
2016-07-27,MCD15A2H.A2016209.h17v05.061.2021354151424.hdf,MCD15A2H,061,4.98,Downloaded
2016-08-04,MCD15A2H.A2016217.h17v05.061.2021356212500.hdf,MCD15A2H,061,4.87,Downloaded
2016-08-12,MCD15A2H.A2016225.h17v05.061.2021356221825.hdf,MCD15A2H,061,4.98,Downloaded
2016-08-20,MCD15A2H.A2016233.h17v05.061.2021356223904.hdf,MCD15A2H,061,4.9,Downloaded
2016-08-28,MCD15A2H.A2016241.h17v05.061.2021356231608.hdf,MCD15A2H,061,4.99,Downloaded
2016-09-05,MCD15A2H.A2016249.h17v05.061.2021356234951.hdf,MCD15A2H,061,4.89,Downloaded
2016-09-13,MCD15A2H.A2016257.h17v05.061.2021357103425.hdf,MCD15A2H,061,5.19,Downloaded
2016-09-21,MCD15A2H.A2016265.h17v05.061.2021358040448.hdf,MCD15A2H,061,5.08,Downloaded
2016-09-29,MCD15A2H.A2016273.h17v05.061.2021358045934.hdf,MCD15A2H,061,5.06,Downloaded
2016-10-07,MCD15A2H.A2016281.h17v05.061.2021358170237.hdf,MCD15A2H,061,5.2,Downloaded
2016-10-15,MCD15A2H.A2016289.h17v05.061.2021360025647.hdf,MCD15A2H,061,5.44,Downloaded
2016-10-23,MCD15A2H.A2016297.h17v05.061.2021360030721.hdf,MCD15A2H,061,5.1,Downloaded
2016-10-31,MCD15A2H.A2016305.h17v05.061.2021360032857.hdf,MCD15A2H,061,5.6,Downloaded
2016-11-08,MCD15A2H.A2016313.h17v05.061.2021360034325.hdf,MCD15A2H,061,5.28,Downloaded
2016-11-16,MCD15A2H.A2016321.h17v05.061.2021360231111.hdf,MCD15A2H,061,5.23,Downloaded
2016-11-24,MCD15A2H.A2016329.h17v05.061.2021361172439.hdf,MCD15A2H,061,5.58,Downloaded
2016-12-02,MCD15A2H.A2016337.h17v05.061.2021362154334.hdf,MCD15A2H,061,5.67,Downloaded
2016-12-10,MCD15A2H.A2016345.h17v05.061.2021362163553.hdf,MCD15A2H,061,5.55,Downloaded
2016-12-18,MCD15A2H.A2016353.h17v05.061.2021363161727.hdf,MCD15A2H,061,5.51,Downloaded
2016-12-26,MCD15A2H.A2016361.h17v05.061.2021363210120.hdf,MCD15A2H,061,5.53,Downloaded
2017-01-01,MCD15A2H.A2017001.h17v05.061.2021252191110.hdf,MCD15A2H,061,5.52,Downloaded
2017-01-09,MCD15A2H.A2017009.h17v05.061.2021257220446.hdf,MCD15A2H,061,5.54,Downloaded
2017-01-17,MCD15A2H.A2017017.h17v05.061.2021259013443.hdf,MCD15A2H,061,5.69,Downloaded
2017-01-25,MCD15A2H.A2017025.h17v05.061.2021264210500.hdf,MCD15A2H,061,5.7,Downloaded
2017-02-02,MCD15A2H.A2017033.h17v05.061.2021265223737.hdf,MCD15A2H,061,5.79,Downloaded
2017-02-10,MCD15A2H.A2017041.h17v05.061.2021266094958.hdf,MCD15A2H,061,5.96,Downloaded
2017-02-18,MCD15A2H.A2017049.h17v05.061.2021267143642.hdf,MCD15A2H,061,6.06,Downloaded
2017-02-26,MCD15A2H.A2017057.h17v05.061.2021267144057.hdf,MCD15A2H,061,6.03,Downloaded
2017-03-06,MCD15A2H.A2017065.h17v05.061.2021268213008.hdf,MCD15A2H,061,5.74,Downloaded
2017-03-14,MCD15A2H.A2017073.h17v05.061.2021269001900.hdf,MCD15A2H,061,6.01,Downloaded
2017-03-22,MCD15A2H.A2017081.h17v05.061.2021270054552.hdf,MCD15A2H,061,6.22,Downloaded
2017-03-30,MCD15A2H.A2017089.h17v05.061.2021270060520.hdf,MCD15A2H,061,5.76,Downloaded
2017-04-07,MCD15A2H.A2017097.h17v05.061.2021271115643.hdf,MCD15A2H,061,5.55,Downloaded
2017-04-15,MCD15A2H.A2017105.h17v05.061.2021271120111.hdf,MCD15A2H,061,5.56,Downloaded
2017-04-23,MCD15A2H.A2017113.h17v05.061.2021272091847.hdf,MCD15A2H,061,5.9,Downloaded
2017-05-01,MCD15A2H.A2017121.h17v05.061.2021272092443.hdf,MCD15A2H,061,5.41,Downloaded
2017-05-09,MCD15A2H.A2017129.h17v05.061.2021274002722.hdf,MCD15A2H,061,5.79,Downloaded
2017-05-17,MCD15A2H.A2017137.h17v05.061.2021274003136.hdf,MCD15A2H,061,5.33,Downloaded
2017-05-25,MCD15A2H.A2017145.h17v05.061.2021274003741.hdf,MCD15A2H,061,5.53,Downloaded
2017-06-02,MCD15A2H.A2017153.h17v05.061.2021274233513.hdf,MCD15A2H,061,5.13,Downloaded
2017-06-10,MCD15A2H.A2017161.h17v05.061.2021283132941.hdf,MCD15A2H,061,5.12,Downloaded
2017-06-18,MCD15A2H.A2017169.h17v05.061.2021276201344.hdf,MCD15A2H,061,5.0,Downloaded
