date,file_name,product,file_size_mb,status
2016-03-13,MOD16A2GF.A2016073.h17v05.061.2022001223212.hdf,MOD16A2GF,12.65,Downloaded
2016-03-21,MOD16A2GF.A2016081.h17v05.061.2022001234637.hdf,MOD16A2GF,12.75,Downloaded
2016-03-29,MOD16A2GF.A2016089.h17v05.061.2022002005648.hdf,MOD16A2GF,12.95,Downloaded
2016-04-06,MOD16A2GF.A2016097.h17v05.061.2022002020912.hdf,MOD16A2GF,12.98,Downloaded
2016-04-14,MOD16A2GF.A2016105.h17v05.061.2022002033502.hdf,MOD16A2GF,13.38,Downloaded
2016-04-22,MOD16A2GF.A2016113.h17v05.061.2022002050227.hdf,MOD16A2GF,13.2,Downloaded
2016-04-30,MOD16A2GF.A2016121.h17v05.061.2022002061836.hdf,MOD16A2GF,13.01,Downloaded
2016-05-08,MOD16A2GF.A2016129.h17v05.061.2022002072708.hdf,MOD16A2GF,13.24,Downloaded
2016-05-16,MOD16A2GF.A2016137.h17v05.061.2022002083932.hdf,MOD16A2GF,13.25,Downloaded
2016-05-24,MOD16A2GF.A2016145.h17v05.061.2022002100916.hdf,MOD16A2GF,13.26,Downloaded
2016-06-01,MOD16A2GF.A2016153.h17v05.061.2022002113641.hdf,MOD16A2GF,13.04,Downloaded
2016-06-09,MOD16A2GF.A2016161.h17v05.061.2022002131353.hdf,MOD16A2GF,13.01,Downloaded
2016-06-17,MOD16A2GF.A2016169.h17v05.061.2022002150246.hdf,MOD16A2GF,12.78,Downloaded
2016-06-25,MOD16A2GF.A2016177.h17v05.061.2022002170353.hdf,MOD16A2GF,12.83,Downloaded
2016-07-03,MOD16A2GF.A2016185.h17v05.061.2022002181845.hdf,MOD16A2GF,12.74,Downloaded
2016-07-11,MOD16A2GF.A2016193.h17v05.061.2022002195412.hdf,MOD16A2GF,12.2,Downloaded
2016-07-19,MOD16A2GF.A2016201.h17v05.061.2022002212426.hdf,MOD16A2GF,12.06,Downloaded
2016-07-27,MOD16A2GF.A2016209.h17v05.061.2022002225149.hdf,MOD16A2GF,12.42,Downloaded
2016-08-04,MOD16A2GF.A2016217.h17v05.061.2022003001233.hdf,MOD16A2GF,12.22,Downloaded
2016-08-12,MOD16A2GF.A2016225.h17v05.061.2022003021556.hdf,MOD16A2GF,12.47,Downloaded
