date,file_name,product,version,file_size_mb,status
2015-05-26,SMAP_L3_SM_P_E_20150526_R19240_001.h5,SPL3SMP_E,006,649.83,Downloaded
2015-05-27,SMAP_L3_SM_P_E_20150527_R19240_001.h5,SPL3SMP_E,006,657.37,Downloaded
2015-05-28,SMAP_L3_SM_P_E_20150528_R19240_001.h5,SPL3SMP_E,006,628.71,Downloaded
2015-05-29,SMAP_L3_SM_P_E_20150529_R19240_001.h5,SPL3SMP_E,006,622.9,Downloaded
2015-05-30,SMAP_L3_SM_P_E_20150530_R19240_001.h5,SPL3SMP_E,006,661.5,Downloaded
2015-05-31,SMAP_L3_SM_P_E_20150531_R19240_001.h5,SPL3SMP_E,006,632.32,Downloaded
2015-06-01,SMAP_L3_SM_P_E_20150601_R19240_001.h5,SPL3SMP_E,006,594.72,Downloaded
2015-06-02,SMAP_L3_SM_P_E_20150602_R19240_001.h5,SPL3SMP_E,006,625.25,Downloaded
2015-06-03,SMAP_L3_SM_P_E_20150603_R19240_001.h5,SPL3SMP_E,006,542.67,Downloaded
2015-06-04,SMAP_L3_SM_P_E_20150604_R19240_001.h5,SPL3SMP_E,006,600.91,Downloaded
2015-06-05,SMAP_L3_SM_P_E_20150605_R19240_001.h5,SPL3SMP_E,006,671.33,Downloaded
2015-06-06,SMAP_L3_SM_P_E_20150606_R19240_001.h5,SPL3SMP_E,006,639.42,Downloaded
2015-06-07,SMAP_L3_SM_P_E_20150607_R19240_001.h5,SPL3SMP_E,006,665.29,Downloaded
2015-06-08,SMAP_L3_SM_P_E_20150608_R19240_001.h5,SPL3SMP_E,006,667.57,Downloaded
2015-06-09,SMAP_L3_SM_P_E_20150609_R19240_001.h5,SPL3SMP_E,006,644.89,Downloaded
2015-06-10,SMAP_L3_SM_P_E_20150610_R19240_001.h5,SPL3SMP_E,006,675.43,Downloaded
2015-06-11,SMAP_L3_SM_P_E_20150611_R19240_001.h5,SPL3SMP_E,006,618.51,Downloaded
2015-06-12,SMAP_L3_SM_P_E_20150612_R19240_001.h5,SPL3SMP_E,006,645.68,Downloaded
